title,price,url
"Park Avenue Good Morning with Free Body Deo, Storm, Multicolor,...",383,https://www.amazon.in/Park-Avenue-Morning-100ml-Storm/dp/B073ZDBPSP?ref_=ast_sto_dp&th=1&psc=1
"Park Avenue Premium Perfume, Icon, 108g/130ml.",238,https://www.amazon.in/Park-Avenue-Premium-Perfume-120ml/dp/B00PS7Z6RC?ref_=ast_sto_dp&th=1&psc=1
"Park Avenue Premium Perfume for Men, Magnifico,(25% free)...",238,https://www.amazon.in/Park-Avenue-Premium-Perfume-Magnifico/dp/B00YHAWWM8?ref_=ast_sto_dp&th=1&psc=1
Park Avenue Regal NO GAS Premium Perfume For Men Long...,149,https://www.amazon.in/Park-Avenue-Premium-Perfume-Regal/dp/B00PS8DUJW?ref_=ast_sto_dp&th=1&psc=1
Park Avenue Maestro NO GAS Premium Perfume For Men Long...,250,https://www.amazon.in/Park-Avenue-Maestro-Perfume-Liquid/dp/B07FYNR75H?ref_=ast_sto_dp&th=1&psc=1
Park Avenue Good Morning Ultimate NO GAS Premium...,275,https://www.amazon.in/Park-Avenue-Morning-Perfume-Ultimate/dp/B07C2HT4NF?ref_=ast_sto_dp&th=1&psc=1
"Park Avenue Voyage Amazon Woods Perfume For Men, 120ml",157,https://www.amazon.in/Park-Avenue-Voyage-Amazon-Perfume/dp/B084V46KGT?ref_=ast_sto_dp&th=1&psc=1
Park Avenue Original Collection | Deodorant for Men | Fresh...,112,https://www.amazon.in/Park-Avenue-Morning-Perfume-Intense/dp/B07C2J291K?ref_=ast_sto_dp&th=1&psc=1
"Park Avenue Alexander Perfume Body Spray For Men, 130ml",169,https://www.amazon.in/Park-Avenue-Alexander-Fragrance-150ml/dp/B074N9KSKP?ref_=ast_sto_dp&th=1&psc=1
Park Avenue Epic Perfume Spray Gas Free For Men 120 ml/100 g -...,165,https://www.amazon.in/Park-Avenue-Epic-Fragrance-150ml/dp/B074N47KMR?ref_=ast_sto_dp&th=1&psc=1
Park Avenue Marcus NO GAS Perfume Spray For Men's Long...,179,https://www.amazon.in/Park-Avenue-Marcus-Fragrance-150ml/dp/B074NB139S?ref_=ast_sto_dp&th=1&psc=1
Park Avenue Zouk NO GAS Mist Perfume For Men Long Lasting...,220,https://www.amazon.in/Park-Avenue-Collection-Perfume-Spray/dp/B01MQTPJ6D?ref_=ast_sto_dp
"Park Avenue Men's Elevate Perfume Spray, 100g",188,https://www.amazon.in/Park-Avenue-Elevate-Perfume-Spray/dp/B074XTFRHM?ref_=ast_sto_dp
